type,unCode,tpCode,name,Country,provinceISOCode,provinceName,,latitude,longitude,zoomLevel,phoneCode,timeZoneCode,timeOffset,description,isEXODestination,tpServer
city, PBR ,PBI,Pranburi ,THA,PKN,Prachuap Khiri Khan ,,12.3404577,99.8670392,12,32,ICT,+7,,true,
city, RNN ,RAN,Ranong ,THA,RNG,Ranong ,,9.9666965,98.6330083,12,77,ICT,+7,,true,
city, RAT ,RCB,Ratchaburi ,THA,RBR,Ratchaburi ,,13.5280239,99.8107534,12,32,ICT,+7,,true,
city, RYG ,RAY,Rayong ,THA,RYG,Rayong ,,12.6814798,101.2709756,12,38,ICT,+7,,true,
city, ROI ,ROI,Roi Et,THA,RET,Roi Et,,16.0535365,103.6548192,12,43,ICT,+7,,true,
city,,SAK,Sa Kaeo,THA,SKW,Sa Kaeo,,13.7969319,102.1378929,12,37,ICT,+7,,true,
city, SNO ,SNO,Sakon Nakhon,THA,SNK,Sakon Nakhon,,17.154507,104.1324524,12,42,ICT,+7,,true,
city, SAP ,SMP,Samut Prakan ,THA,SPK,Samut Prakan ,,13.5693545,100.5924309,12,2,ICT,+7,,true,
city, SSN ,SSK,Samut Sakorn ,THA,SKN,Samut Sakhon ,,13.5475752,100.2712995,12,34,ICT,+7,,true,
city, SSM ,SAS,Samut Songkhram ,THA,SKM,Samut Songkhram ,,13.4130291,99.9995971,12,34,ICT,+7,,true,
city, SBI ,SAR,Saraburi ,THA,SRI,Saraburi ,,14.5253081,100.9049067,12,36,ICT,+7,,true,
city, SNT ,SAT,Satun ,THA,STN,Satun ,,6.623775,100.0652172,12,74,ICT,+7,,true,
city, SSK ,SIS,Sisaket ,THA,SSK,Sisaket ,,15.1202791,104.3192905,12,45,ICT,+7,,true,
city, SGZ ,SKL,Songkhla ,THA,SKA,Songkhla ,,7.2052572,100.5946715,12,74,ICT,+7,,true,
city, THS ,THS,Sukhothai,THA,STI,Sukhothai,,16.9882007,99.8077988,12,55,ICT,+7,,true,
city, SUB ,SPB,Suphanburi ,THA,SPB,Suphanburi ,,14.493911,100.114103,12,35,ICT,+7,,true,
city, URT ,URT,Surat Thani,THA,SNI,Surat Thani,,9.118229,99.3239786,12,77,ICT,+7,,true,
city, SNR ,SRI,Surin ,THA,SRN,Surin ,,14.8823509,103.4900721,12,45,ICT,+7,,true,
city, TKT ,TAK,Tak,THA,TAK,Tak,,16.8675976,99.1272078,12,55,ICT,+7,,true,
city, TRG ,TRG,Trang ,THA,TRG,Trang ,,7.5582808,99.6084722,12,75,ICT,+7,,true,
city, TDX ,TDX,Trat,THA,TRT,Trat,,12.2473927,102.5052022,12,39,ICT,+7,,true,
city, UBP ,UBP,Ubon Ratchathani,THA,UBN,Ubon Ratchathani,,15.2295517,104.8528606,12,45,ICT,+7,,true,
city, UTH,UTH,Udon Thani,THA,UDN,Udon Thani,,17.4113136,102.7779358,12,42,ICT,+7,,true,
city,,UTT,Uthai Thani,THA,UTI,Uthai Thani,,15.3770415,100.0142016,12,56,ICT,+7,,true,
city, UTR ,UTD,Uttaradit ,THA,UTD,Uttaradit ,,17.6297821,100.0944324,12,55,ICT,+7,,true,
